base_id,n_rules,f1_train,fpr_train,f1_test,fpr_test,recall_test,precision_test,expert_rules_included,jaccard_vs_expert,expert_coverage,rules
35,20,0.9262,0.0201,0.9249,0.0205,0.9247,0.9251,1,0.027,0.056,G12(enum); G97(enum); G124(enum); G212(enum); G224(enum); G252(enum); G295(enum); G318(enum); G329(enum); G336(enum); G337(enum); G341(enum); G509(enum); G519(enum); G534(enum); G535(enum); G576(enum); G596(enum); G688(wm); R6
17,22,0.925,0.0102,0.9245,0.0106,0.8928,0.9585,1,0.026,0.056,G12(enum); G47(enum); G83(enum); G97(enum); G212(enum); G250(enum); G252(enum); G257(enum); G277(enum); G301(enum); G316(enum); G337(enum); G349(enum); G372(enum); G495(enum); G509(enum); G552(enum); G610(enum); G661(enum); G680(enum); G689(wm); R6
132,20,0.9252,0.02,0.9243,0.0205,0.9235,0.925,1,0.027,0.056,G12(enum); G17(enum); G124(enum); G212(enum); G217(enum); G224(enum); G250(enum); G252(enum); G257(enum); G301(enum); G316(enum); G329(enum); G336(enum); G337(enum); G345(enum); G509(enum); G535(enum); G577(enum); G680(enum); R6
135,16,0.9251,0.0208,0.9238,0.0212,0.9248,0.9229,1,0.03,0.056,G12(enum); G38(enum); G118(enum); G212(enum); G244(enum); G252(enum); G256(enum); G301(enum); G316(enum); G336(enum); G337(enum); G345(enum); G509(enum); G598(enum); G680(enum); R6
31,24,0.9254,0.0193,0.9237,0.0196,0.9197,0.9278,1,0.024,0.056,G12(enum); G15(enum); G72(enum); G124(enum); G128(enum); G212(enum); G219(enum); G224(enum); G252(enum); G295(enum); G298(enum); G316(enum); G329(enum); G336(enum); G337(enum); G341(enum); G345(enum); G509(enum); G535(enum); G576(enum); G577(enum); G583(enum); G642(enum); R6
137,16,0.9252,0.0212,0.923,0.0215,0.9244,0.9217,1,0.03,0.056,G12(enum); G58(enum); G212(enum); G224(enum); G252(enum); G311(enum); G336(enum); G341(enum); G372(enum); G416(enum); G495(enum); G509(enum); G584(enum); G598(enum); G680(enum); R6
38,17,0.9242,0.0207,0.923,0.0211,0.923,0.923,1,0.029,0.056,G12(enum); G72(enum); G118(enum); G124(enum); G212(enum); G233(enum); G250(enum); G252(enum); G316(enum); G336(enum); G337(enum); G338(enum); G509(enum); G535(enum); G577(enum); G689(wm); R6
0,14,0.9249,0.0223,0.9227,0.0227,0.9273,0.9181,0,0.0,0.0,G12(enum); G103(enum); G124(enum); G212(enum); G224(enum); G252(enum); G316(enum); G336(enum); G337(enum); G341(enum); G349(enum); G509(enum); G577(enum); G680(enum)
54,17,0.9233,0.0105,0.9226,0.0107,0.8898,0.958,1,0.029,0.056,G12(enum); G97(enum); G199(enum); G212(enum); G233(enum); G252(enum); G301(enum); G316(enum); G337(enum); G349(enum); G473(enum); G509(enum); G598(enum); G610(enum); G680(enum); G689(wm); R6
142,12,0.9238,0.0223,0.9216,0.0227,0.9252,0.918,0,0.0,0.0,G12(enum); G103(enum); G124(enum); G224(enum); G252(enum); G316(enum); G336(enum); G341(enum); G349(enum); G509(enum); G577(enum); G680(enum)
28,15,0.9226,0.0202,0.921,0.0206,0.9177,0.9243,1,0.031,0.056,G12(enum); G58(enum); G212(enum); G224(enum); G252(enum); G301(enum); G336(enum); G345(enum); G372(enum); G496(enum); G509(enum); G564(enum); G598(enum); G680(enum); R6
66,13,0.9213,0.0213,0.9204,0.0217,0.92,0.9208,0,0.0,0.0,G12(enum); G103(enum); G124(enum); G224(enum); G252(enum); G258(enum); G316(enum); G336(enum); G341(enum); G372(enum); G509(enum); G564(enum); G577(enum)
89,23,0.9212,0.0101,0.9202,0.0104,0.8843,0.959,1,0.025,0.056,G12(enum); G47(enum); G83(enum); G97(enum); G170(enum); G212(enum); G250(enum); G252(enum); G257(enum); G277(enum); G301(enum); G316(enum); G337(enum); G349(enum); G372(enum); G495(enum); G509(enum); G552(enum); G610(enum); G661(enum); G680(enum); G689(wm); R6
91,12,0.9212,0.022,0.9199,0.0223,0.921,0.9189,0,0.0,0.0,G12(enum); G103(enum); G143(enum); G180(enum); G224(enum); G252(enum); G316(enum); G336(enum); G341(enum); G349(enum); G509(enum); G577(enum)
